HGNC ID	Approved Symbol	Approved Name	Locus Type	Locus Group	Chromosome	Entrez Gene ID	RefSeq IDs	OMIM ID(supplied by OMIM)	RefSeq(supplied by NCBI)
26809	KLHDC10	KLHDC10	gene-with-protein-product	protein-coding-gene	chr14	KLHDC10	XM_005628388.1	KLHDC10	XM_005628388.1
36471	KLHDC2	KLHDC2	gene-with-protein-product	protein-coding-gene	chr8	KLHDC2	XM_005623378.1	KLHDC2	XM_005623378.1
26297	KLHDC3	KLHDC3	gene-with-protein-product	protein-coding-gene	chr12	KLHDC3	XM_860141.3	KLHDC3	XM_860141.3
1709	KLHDC4	KLHDC4	gene-with-protein-product	protein-coding-gene	chr5	KLHDC4	XM_005620582.1	KLHDC4	XM_005620582.1
46457	KLHDC7A	KLHDC7A	gene-with-protein-product	protein-coding-gene	chr2	KLHDC7A	XM_005617936.1	KLHDC7A	XM_005617936.1
37898	KLHDC7B	KLHDC7B	gene-with-protein-product	protein-coding-gene	chr10	KLHDC7B	XM_538306.5	KLHDC7B	XM_538306.5
138	KLHDC8A	KLHDC8A	gene-with-protein-product	protein-coding-gene	chr38	KLHDC8A	XM_545688.2	KLHDC8A	XM_545688.2
42769	KLHDC8B	KLHDC8B	gene-with-protein-product	protein-coding-gene	chr20	KLHDC8B	XM_541887.4	KLHDC8B	XM_541887.4
33856	KLHDC9	KLHDC9	gene-with-protein-product	protein-coding-gene	chr38	KLHDC9	XM_536133.4	KLHDC9	XM_536133.4
43658	KLHL1	KLHL1	gene-with-protein-product	protein-coding-gene	chr22	KLHL1	XM_542606.4	KLHL1	XM_542606.4
36864	KLHL10	KLHL10	gene-with-protein-product	protein-coding-gene	chr9	KLHL10	XM_537641.4	KLHL10	XM_537641.4
36862	KLHL11	KLHL11	gene-with-protein-product	protein-coding-gene	chr9	KLHL11	XM_005624482.1	KLHL11	XM_005624482.1
35826	KLHL12	KLHL12	gene-with-protein-product	protein-coding-gene	chr7	KLHL12	XM_005622175.1	KLHL12	XM_005622175.1
4700	KLHL13	KLHL13	gene-with-protein-product	protein-coding-gene	chrX	KLHL13	XM_005641722.1	KLHL13	XM_005641722.1
3067	KLHL14	KLHL14	gene-with-protein-product	protein-coding-gene	chr7	KLHL14	XM_005622925.1	KLHL14	XM_005622925.1
4651	KLHL15	KLHL15	gene-with-protein-product	protein-coding-gene	chrX	KLHL15	XM_005641202.1	KLHL15	XM_005641202.1
1583	KLHL17	KLHL17	gene-with-protein-product	protein-coding-gene	chr5	KLHL17	XM_005620355.1	KLHL17	XM_005620355.1
42786	KLHL18	KLHL18	gene-with-protein-product	protein-coding-gene	chr20	KLHL18	XM_005632612.1	KLHL18	XM_005632612.1
27400	KLHL2	KLHL2	gene-with-protein-product	protein-coding-gene	chr15	KLHL2	XM_005629391.1	KLHL2	XM_005629391.1
35986	KLHL20	KLHL20	gene-with-protein-product	protein-coding-gene	chr7	KLHL20	XM_537188.4	KLHL20	XM_537188.4
1421	KLHL21	KLHL21	gene-with-protein-product	protein-coding-gene	chr5	KLHL21	XM_546754.4	KLHL21	XM_546754.4
45104	KLHL22	KLHL22	gene-with-protein-product	protein-coding-gene	chr26	KLHL22	XM_543559.4	KLHL22	XM_543559.4
47608	KLHL23	KLHL23	gene-with-protein-product	protein-coding-gene	chr36	KLHL23	XM_545514.4	KLHL23	XM_545514.4
33227	KLHL24	KLHL24	gene-with-protein-product	protein-coding-gene	chr34	KLHL24	XM_005639765.1	KLHL24	XM_005639765.1
267	KLHL25	KLHL25	gene-with-protein-product	protein-coding-gene	chr3	KLHL25	XM_005618339.1	KLHL25	XM_005618339.1
42827	KLHL26	KLHL26	gene-with-protein-product	protein-coding-gene	chr20	KLHL26	XM_541933.4	KLHL26	XM_541933.4
3255	KLHL28	KLHL28	gene-with-protein-product	protein-coding-gene	chr8	KLHL28	XM_005623359.1	KLHL28	XM_005623359.1
40231	KLHL29	KLHL29	gene-with-protein-product	protein-coding-gene	chr17	KLHL29	XM_540105.4	KLHL29	XM_540105.4
38380	KLHL3	KLHL3	gene-with-protein-product	protein-coding-gene	chr11	KLHL3	XM_005626575.1	KLHL3	XM_005626575.1
5753	KLHL30	KLHL30	gene-with-protein-product	protein-coding-gene	chr25	KLHL30	XM_843854.3	KLHL30	XM_843854.3
38856	KLHL31	KLHL31	gene-with-protein-product	protein-coding-gene	chr12	KLHL31	XM_538967.4	KLHL31	XM_538967.4
38990	KLHL32	KLHL32	gene-with-protein-product	protein-coding-gene	chr12	KLHL32	XM_849576.3	KLHL32	XM_849576.3
39783	KLHL33	KLHL33	gene-with-protein-product	protein-coding-gene	chr15	KLHL33	XM_539673.3	KLHL33	XM_539673.3
4645	KLHL34	KLHL34	gene-with-protein-product	protein-coding-gene	chrX	KLHL34	XM_005642073.1	KLHL34	XM_005642073.1
7905	KLHL35	KLHL35	gene-with-protein-product	protein-coding-gene	chr21	KLHL35	XM_846423.3	KLHL35	XM_846423.3
1720	KLHL36	KLHL36	gene-with-protein-product	protein-coding-gene	chr5	KLHL36	XM_546799.5	KLHL36	XM_546799.5
8067	KLHL38	KLHL38	gene-with-protein-product	protein-coding-gene	chr13	KLHL38	XM_005627908.1	KLHL38	XM_005627908.1
4910	KLHL4	KLHL4	gene-with-protein-product	protein-coding-gene	chrX	KLHL4	XM_549119.4	KLHL4	XM_549119.4
43825	KLHL40	KLHL40	gene-with-protein-product	protein-coding-gene	chr23	KLHL40	XM_542735.5	KLHL40	XM_542735.5
33494	KLHL41	KLHL41	gene-with-protein-product	protein-coding-gene	chr36	KLHL41	XM_535949.4	KLHL41	XM_535949.4
31363	KLHL42	KLHL42	gene-with-protein-product	protein-coding-gene	chr27	KLHL42	XM_860329.3	KLHL42	XM_860329.3
12140	KLHL5	KLHL5	gene-with-protein-product	protein-coding-gene	chr3	KLHL5	XM_005618624.1	KLHL5	XM_005618624.1
47314	KLHL6	KLHL6	gene-with-protein-product	protein-coding-gene	chr34	KLHL6	XM_545220.4	KLHL6	XM_545220.4
26948	KLHL7	KLHL7	gene-with-protein-product	protein-coding-gene	chr14	KLHL7	XM_532490.4	KLHL7	XM_532490.4
46999	KLHL8	KLHL8	gene-with-protein-product	protein-coding-gene	chr32	KLHL8	XM_544969.4	KLHL8	XM_544969.4
38354	KLHL9	KLHL9	gene-with-protein-product	protein-coding-gene	chr11	KLHL9	XR_293577.1	KLHL9	XR_293577.1
24863	KLK1	KLK1	gene-with-protein-product	protein-coding-gene	chr1	KLK1	NM_001003262.1	KLK1	NM_001003262.1
42103	KLK10	KLK10	gene-with-protein-product	protein-coding-gene	chr1	KLK10	XM_005615761.1	KLK10	XM_005615761.1
28918	KLK11	KLK11	gene-with-protein-product	protein-coding-gene	chr1	KLK11	XM_005616254.1	KLK11	XM_005616254.1
10787	KLK12	KLK12	gene-with-protein-product	protein-coding-gene	chr1	KLK12	XM_005616252.1	KLK12	XM_005616252.1
16522	KLK13	KLK13	gene-with-protein-product	protein-coding-gene	chr1	KLK13	XM_003638808.2	KLK13	XM_003638808.2
42101	KLK14	KLK14	gene-with-protein-product	protein-coding-gene	chr1	KLK14	NM_001165879.1	KLK14	NM_001165879.1
37316	KLK15	KLK15	gene-with-protein-product	protein-coding-gene	chr1	KLK15	XM_537938.4	KLK15	XM_537938.4
24914	KLK2	KLK2	gene-with-protein-product	protein-coding-gene	chr1	KLK2	XM_005615732.1	KLK2	XM_005615732.1
42111	KLK4	KLK4	gene-with-protein-product	protein-coding-gene	chr1	KLK4	XM_005615765.1	KLK4	XM_005615765.1
42108	KLK5	KLK5	gene-with-protein-product	protein-coding-gene	chr1	KLK5	XM_005615764.1	KLK5	XM_005615764.1
28920	KLK6	KLK6	gene-with-protein-product	protein-coding-gene	chr1	KLK6	NM_001197166.1	KLK6	NM_001197166.1
10805	KLK7	KLK7	gene-with-protein-product	protein-coding-gene	chr1	KLK7	XM_005615771.1	KLK7	XM_005615771.1
42105	KLK8	KLK8	gene-with-protein-product	protein-coding-gene	chr1	KLK8	NM_001197162.1	KLK8	NM_001197162.1
12616	KLK9	KLK9	gene-with-protein-product	protein-coding-gene	chr1	KLK9	NM_001171773.2	KLK9	NM_001171773.2
27623	KLKB1	KLKB1	gene-with-protein-product	protein-coding-gene	chr16	KLKB1	NM_001242717.1	KLKB1	NM_001242717.1
23934	KLRA1	KLRA1	gene-with-protein-product	protein-coding-gene	chr27	KLRA1	NM_001002986.1	KLRA1	NM_001002986.1
13701	KLRB1	KLRB1	gene-with-protein-product	protein-coding-gene	chr27	KLRB1	XM_005637170.1	KLRB1	XM_005637170.1
10261	KLRD1	KLRD1	gene-with-protein-product	protein-coding-gene	chr27	KLRD1	NM_001048035.1	KLRD1	NM_001048035.1
10400	KLRF1	KLRF1	gene-with-protein-product	protein-coding-gene	chr27	KLRF1	XM_849098.2	KLRF1	XM_849098.2
13524	KLRF2	KLRF2	gene-with-protein-product	protein-coding-gene	chr27	KLRF2	XM_003433534.1	KLRF2	XM_003433534.1
10451	KLRG1	KLRG1	gene-with-protein-product	protein-coding-gene	chr27	KLRG1	XM_849133.3	KLRG1	XM_849133.3
19991	KLRG2	KLRG2	gene-with-protein-product	protein-coding-gene	chr16	KLRG2	XM_005629560.1	KLRG2	XM_005629560.1
10316	KLRK1	KLRK1	gene-with-protein-product	protein-coding-gene	chr27	KLRK1	XM_005637160.1	KLRK1	XM_005637160.1
36042	KMO	KMO	gene-with-protein-product	protein-coding-gene	chr7	KMO	NM_001195512.1	KMO	NM_001195512.1
34709	KMT2A	KMT2A	gene-with-protein-product	protein-coding-gene	chr5	KMT2A	XM_005620305.1	KMT2A	XM_005620305.1
45231	KMT2D	KMT2D	gene-with-protein-product	protein-coding-gene	chr27	KMT2D	XM_005636883.1	KMT2D	XM_005636883.1
28089	KMT2E	KMT2E	gene-with-protein-product	protein-coding-gene	chr18	KMT2E	XM_533102.4	KMT2E	XM_533102.4
13437	KNCN	KNCN	gene-with-protein-product	protein-coding-gene	chr15	KNCN	XM_003431962.1	KNCN	XM_003431962.1
4394	KNDC1	KNDC1	gene-with-protein-product	protein-coding-gene	chr28	KNDC1	XM_005637905.1	KNDC1	XM_005637905.1
33101	KNG1	KNG1	gene-with-protein-product	protein-coding-gene	chr34	KNG1	XM_005639811.1	KNG1	XM_005639811.1
7762	KNOP1	KNOP1	gene-with-protein-product	protein-coding-gene	chr6	KNOP1	XM_005621486.1	KNOP1	XM_005621486.1
16628	KNSTRN	KNSTRN	gene-with-protein-product	protein-coding-gene	chr30	KNSTRN	XM_003640036.2	KNSTRN	XM_003640036.2
44787	KNTC1	KNTC1	gene-with-protein-product	protein-coding-gene	chr26	KNTC1	XM_005636155.1	KNTC1	XM_005636155.1
33130	KPNA1	KPNA1	gene-with-protein-product	protein-coding-gene	chr33	KPNA1	XM_005639559.1	KPNA1	XM_005639559.1
36761	KPNA2	KPNA2	gene-with-protein-product	protein-coding-gene	chr9	KPNA2	XM_005624265.1	KPNA2	XM_005624265.1
29873	KPNA3	KPNA3	gene-with-protein-product	protein-coding-gene	chr22	KPNA3	XM_005633847.1	KPNA3	XM_005633847.1
33296	KPNA4	KPNA4	gene-with-protein-product	protein-coding-gene	chr34	KPNA4	XM_005639866.1	KPNA4	XM_005639866.1
41826	KPNA5	KPNA5	gene-with-protein-product	protein-coding-gene	chr1	KPNA5	XM_541211.4	KPNA5	XM_541211.4
46302	KPNA6	KPNA6	gene-with-protein-product	protein-coding-gene	chr2	KPNA6	XM_005617653.1	KPNA6	XM_005617653.1
2053	KPNA7	KPNA7	gene-with-protein-product	protein-coding-gene	chr6	KPNA7	XM_005621098.1	KPNA7	XM_005621098.1
3832	KPNB1	KPNB1	gene-with-protein-product	protein-coding-gene	chr9	KPNB1	XM_005624600.1	KPNB1	XM_005624600.1
14445	KPRP	KPRP	gene-with-protein-product	protein-coding-gene	chr17	KPRP	XM_005630833.1	KPRP	XM_005630833.1
11215	KPTN	KPTN	gene-with-protein-product	protein-coding-gene	chr1	KPTN	XM_849863.3	KPTN	XM_849863.3
24729	KRAS	KRAS	gene-with-protein-product	protein-coding-gene	chr27	KRAS	XM_003433561.2	KRAS	XM_003433561.2
9740	KRBA1	KRBA1	gene-with-protein-product	protein-coding-gene	chr16	KRBA1	XM_005629640.1	KRBA1	XM_005629640.1
12800	KRBA2	KRBA2	gene-with-protein-product	protein-coding-gene	chr5	KRBA2	XM_005620027.1	KRBA2	XM_005620027.1
27880	KRCC1	KRCC1	gene-with-protein-product	protein-coding-gene	chr17	KRCC1	XM_005630467.1	KRCC1	XM_005630467.1
44969	KREMEN1	KREMEN1	gene-with-protein-product	protein-coding-gene	chr26	KREMEN1	XM_005636403.1	KREMEN1	XM_005636403.1
9654	KREMEN2	KREMEN2	gene-with-protein-product	protein-coding-gene	chr6	KREMEN2	XM_005621660.1	KREMEN2	XM_005621660.1
43050	KRI1	KRI1	gene-with-protein-product	protein-coding-gene	chr20	KRI1	XM_542068.3	KRI1	XM_542068.3
39456	KRIT1	KRIT1	gene-with-protein-product	protein-coding-gene	chr14	KRIT1	XM_005628508.1	KRIT1	XM_005628508.1
27237	KRR1	KRR1	gene-with-protein-product	protein-coding-gene	chr15	KRR1	XM_005629160.1	KRR1	XM_005629160.1
25232	KRT1	KRT1	gene-with-protein-product	protein-coding-gene	chr27	KRT1	NM_001003392.1	KRT1	NM_001003392.1
3756	KRT10	KRT10	gene-with-protein-product	protein-coding-gene	chr9	KRT10	NM_001013425.1	KRT10	NM_001013425.1
12522	KRT12	KRT12	gene-with-protein-product	protein-coding-gene	chr9	KRT12	NM_001082421.1	KRT12	NM_001082421.1
3706	KRT13	KRT13	gene-with-protein-product	protein-coding-gene	chr9	KRT13	XM_548106.4	KRT13	XM_548106.4
13950	KRT14	KRT14	gene-with-protein-product	protein-coding-gene	chr9	KRT14	NM_001253741.1	KRT14	NM_001253741.1
13989	KRT15	KRT15	gene-with-protein-product	protein-coding-gene	chr9	KRT15	NM_001253744.1	KRT15	NM_001253744.1
3730	KRT16	KRT16	gene-with-protein-product	protein-coding-gene	chr9	KRT16	XM_548101.3	KRT16	XM_548101.3
3729	KRT17	KRT17	gene-with-protein-product	protein-coding-gene	chr9	KRT17	XM_548100.4	KRT17	XM_548100.4
31205	KRT18	KRT18	gene-with-protein-product	protein-coding-gene	chr27	KRT18	XM_534794.4	KRT18	XM_534794.4
14037	KRT19	KRT19	gene-with-protein-product	protein-coding-gene	chr9	KRT19	NM_001253742.1	KRT19	NM_001253742.1
25217	KRT2	KRT2	gene-with-protein-product	protein-coding-gene	chr27	KRT2	XM_005636691.1	KRT2	XM_005636691.1
6715	KRT20	KRT20	gene-with-protein-product	protein-coding-gene	chr9	KRT20	XM_844998.2	KRT20	XM_844998.2
14758	KRT222	KRT222	gene-with-protein-product	protein-coding-gene	chr9	KRT222	XM_005624527.1	KRT222	XM_005624527.1
3754	KRT23	KRT23	gene-with-protein-product	protein-coding-gene	chr9	KRT23	XM_548125.3	KRT23	XM_548125.3
3760	KRT24	KRT24	gene-with-protein-product	protein-coding-gene	chr9	KRT24	XM_548129.4	KRT24	XM_548129.4
14699	KRT25	KRT25	gene-with-protein-product	protein-coding-gene	chr9	KRT25	XM_003435247.2	KRT25	XM_003435247.2
3758	KRT26	KRT26	gene-with-protein-product	protein-coding-gene	chr9	KRT26	XM_548128.3	KRT26	XM_548128.3
3757	KRT27	KRT27	gene-with-protein-product	protein-coding-gene	chr9	KRT27	XM_548127.2	KRT27	XM_548127.2
6730	KRT28	KRT28	gene-with-protein-product	protein-coding-gene	chr9	KRT28	XM_005624525.1	KRT28	XM_005624525.1
45178	KRT3	KRT3	gene-with-protein-product	protein-coding-gene	chr27	KRT3	XM_005637411.1	KRT3	XM_005637411.1
3737	KRT31	KRT31	gene-with-protein-product	protein-coding-gene	chr9	KRT31	XM_005624490.1	KRT31	XM_005624490.1
3734	KRT32	KRT32	gene-with-protein-product	protein-coding-gene	chr9	KRT32	XM_548108.3	KRT32	XM_548108.3
3739	KRT33A	KRT33A	gene-with-protein-product	protein-coding-gene	chr9	KRT33A	XM_005624492.1	KRT33A	XM_005624492.1
3738	KRT34	KRT34	gene-with-protein-product	protein-coding-gene	chr9	KRT34	XM_548112.4	KRT34	XM_548112.4
6378	KRT35	KRT35	gene-with-protein-product	protein-coding-gene	chr9	KRT35	XM_844621.2	KRT35	XM_844621.2
3733	KRT36	KRT36	gene-with-protein-product	protein-coding-gene	chr9	KRT36	XM_548107.3	KRT36	XM_548107.3
6423	KRT37	KRT37	gene-with-protein-product	protein-coding-gene	chr9	KRT37	XM_844677.3	KRT37	XM_844677.3
3735	KRT38	KRT38	gene-with-protein-product	protein-coding-gene	chr9	KRT38	XM_548109.4	KRT38	XM_548109.4
3753	KRT39	KRT39	gene-with-protein-product	protein-coding-gene	chr9	KRT39	XM_548124.3	KRT39	XM_548124.3
12794	KRT4	KRT4	gene-with-protein-product	protein-coding-gene	chr27	KRT4	XM_003433498.1	KRT4	XM_003433498.1
6685	KRT40	KRT40	gene-with-protein-product	protein-coding-gene	chr9	KRT40	XM_844965.2	KRT40	XM_844965.2
3728	KRT42	KRT42	gene-with-protein-product	protein-coding-gene	chr9	KRT42	XM_548099.3	KRT42	XM_548099.3
15007	KRT5	KRT5	gene-with-protein-product	protein-coding-gene	chr27	KRT5	XM_005636793.1	KRT5	XM_005636793.1
45095	KRT6A	KRT6A	gene-with-protein-product	protein-coding-gene	chr27	KRT6A	XM_005636794.1	KRT6A	XM_005636794.1
15093	KRT6B	KRT6B	gene-with-protein-product	protein-coding-gene	chr27	KRT6B	XM_003433512.2	KRT6B	XM_003433512.2
31206	KRT7	KRT7	gene-with-protein-product	protein-coding-gene	chr27	KRT7	XM_005636798.1	KRT7	XM_005636798.1
45182	KRT71	KRT71	gene-with-protein-product	protein-coding-gene	chr27	KRT71	NM_001197029.1	KRT71	NM_001197029.1
45179	KRT72	KRT72	gene-with-protein-product	protein-coding-gene	chr27	KRT72	XM_543646.3	KRT72	XM_543646.3
6638	KRT73	KRT73	gene-with-protein-product	protein-coding-gene	chr27	KRT73	XM_005636791.1	KRT73	XM_005636791.1
45181	KRT74	KRT74	gene-with-protein-product	protein-coding-gene	chr27	KRT74	XM_543647.4	KRT74	XM_543647.4
13278	KRT75	KRT75	gene-with-protein-product	protein-coding-gene	chr27	KRT75	XM_003433503.2	KRT75	XM_003433503.2
45176	KRT76	KRT76	gene-with-protein-product	protein-coding-gene	chr27	KRT76	XM_005636703.1	KRT76	XM_005636703.1
13021	KRT77	KRT77	gene-with-protein-product	protein-coding-gene	chr27	KRT77	XM_005637413.1	KRT77	XM_005637413.1
45174	KRT78	KRT78	gene-with-protein-product	protein-coding-gene	chr27	KRT78	XM_543640.3	KRT78	XM_543640.3
45175	KRT79	KRT79	gene-with-protein-product	protein-coding-gene	chr27	KRT79	XM_543641.3	KRT79	XM_543641.3
45173	KRT8	KRT8	gene-with-protein-product	protein-coding-gene	chr27	KRT8	XM_543639.5	KRT8	XM_543639.5
45195	KRT80	KRT80	gene-with-protein-product	protein-coding-gene	chr27	KRT80	XM_543660.3	KRT80	XM_543660.3
45194	KRT81	KRT81	gene-with-protein-product	protein-coding-gene	chr27	KRT81	XM_543657.4	KRT81	XM_543657.4
45187	KRT82	KRT82	gene-with-protein-product	protein-coding-gene	chr27	KRT82	XM_005636796.1	KRT82	XM_005636796.1
45189	KRT84	KRT84	gene-with-protein-product	protein-coding-gene	chr27	KRT84	XM_543652.2	KRT84	XM_543652.2
45190	KRT85	KRT85	gene-with-protein-product	protein-coding-gene	chr27	KRT85	XM_543653.4	KRT85	XM_543653.4
45193	KRT86	KRT86	gene-with-protein-product	protein-coding-gene	chr27	KRT86	XM_543656.4	KRT86	XM_543656.4
3731	KRT9	KRT9	gene-with-protein-product	protein-coding-gene	chr9	KRT9	NM_001014285.1	KRT9	NM_001014285.1
46956	KRTAP10-1	KRTAP10-1	gene-with-protein-product	protein-coding-gene	chr31	KRTAP10-1	XM_544929.4	KRTAP10-1	XM_544929.4
9824	KRTAP10-4	KRTAP10-4	gene-with-protein-product	protein-coding-gene	chr31	KRTAP10-4	XM_848437.2	KRTAP10-4	XM_848437.2
46955	KRTAP10-7	KRTAP10-7	gene-with-protein-product	protein-coding-gene	chr31	KRTAP10-7	XM_544928.4	KRTAP10-7	XM_544928.4
15067	KRTAP11-1	KRTAP11-1	gene-with-protein-product	protein-coding-gene	chr31	KRTAP11-1	XM_005638820.1	KRTAP11-1	XM_005638820.1
14868	KRTAP13-2	KRTAP13-2	gene-with-protein-product	protein-coding-gene	chr31	KRTAP13-2	XM_005638813.1	KRTAP13-2	XM_005638813.1
13661	KRTAP16-1	KRTAP16-1	gene-with-protein-product	protein-coding-gene	chr9	KRTAP16-1	XM_003435216.2	KRTAP16-1	XM_003435216.2
12480	KRTAP24-1	KRTAP24-1	gene-with-protein-product	protein-coding-gene	chr31	KRTAP24-1	XM_003433976.2	KRTAP24-1	XM_003433976.2
14279	KRTAP26-1	KRTAP26-1	gene-with-protein-product	protein-coding-gene	chr31	KRTAP26-1	XM_003433954.2	KRTAP26-1	XM_003433954.2
46866	KRTAP27-1	KRTAP27-1	gene-with-protein-product	protein-coding-gene	chr31	KRTAP27-1	XM_005638812.1	KRTAP27-1	XM_005638812.1
3744	KRTAP4-12	KRTAP4-12	gene-with-protein-product	protein-coding-gene	chr9	KRTAP4-12	XM_005624501.1	KRTAP4-12	XM_005624501.1
47884	KRTAP7-1	KRTAP7-1	gene-with-protein-product	protein-coding-gene	chr31	KRTAP7-1	XM_005638819.1	KRTAP7-1	XM_005638819.1
15013	KRTAP8-1	KRTAP8-1	gene-with-protein-product	protein-coding-gene	chr31	KRTAP8-1	XM_005638818.1	KRTAP8-1	XM_005638818.1
36123	KRTCAP2	KRTCAP2	gene-with-protein-product	protein-coding-gene	chr7	KRTCAP2	NM_001160122.1	KRTCAP2	NM_001160122.1
10052	KRTCAP3	KRTCAP3	gene-with-protein-product	protein-coding-gene	chr17	KRTCAP3	XM_005630264.1	KRTCAP3	XM_005630264.1
5268	KRTDAP	KRTDAP	gene-with-protein-product	protein-coding-gene	chr1	KRTDAP	NM_001024642.1	KRTDAP	NM_001024642.1
9326	KSR1	KSR1	gene-with-protein-product	protein-coding-gene	chr9	KSR1	XM_005624843.1	KSR1	XM_005624843.1
44864	KSR2	KSR2	gene-with-protein-product	protein-coding-gene	chr26	KSR2	XM_005636278.1	KSR2	XM_005636278.1
12501	KTI12	KTI12	gene-with-protein-product	protein-coding-gene	chr15	KTI12	XM_003639517.2	KTI12	XM_003639517.2
36509	KTN1	KTN1	gene-with-protein-product	protein-coding-gene	chr8	KTN1	XM_005623427.1	KTN1	XM_005623427.1
29416	KXD1	KXD1	gene-with-protein-product	protein-coding-gene	chr20	KXD1	XM_533871.4	KXD1	XM_533871.4
43939	KY	KY	gene-with-protein-product	protein-coding-gene	chr23	KY	XM_542790.4	KY	XM_542790.4
41590	KYNU	KYNU	gene-with-protein-product	protein-coding-gene	chr19	KYNU	XM_541027.4	KYNU	XM_541027.4
5170	L1CAM	L1CAM	gene-with-protein-product	protein-coding-gene	chrX	L1CAM	XM_549364.4	L1CAM	XM_549364.4
17348	L1TD1	L1TD1	gene-with-protein-product	protein-coding-gene	chr5	L1TD1	XM_003639039.2	L1TD1	XM_003639039.2
36473	L2HGDH	L2HGDH	gene-with-protein-product	protein-coding-gene	chr8	L2HGDH	XM_858437.3	L2HGDH	XM_858437.3
3317	L3HYPDH	L3HYPDH	gene-with-protein-product	protein-coding-gene	chr8	L3HYPDH	XM_547837.3	L3HYPDH	XM_547837.3
30505	L3MBTL1	L3MBTL1	gene-with-protein-product	protein-coding-gene	chr24	L3MBTL1	XM_005635082.1	L3MBTL1	XM_005635082.1
37979	L3MBTL2	L3MBTL2	gene-with-protein-product	protein-coding-gene	chr10	L3MBTL2	XR_293337.1	L3MBTL2	XR_293337.1
11883	L3MBTL3	L3MBTL3	gene-with-protein-product	protein-coding-gene	chr1	L3MBTL3	XM_003638770.2	L3MBTL3	XM_003638770.2
3115	L3MBTL4	L3MBTL4	gene-with-protein-product	protein-coding-gene	chr7	L3MBTL4	XM_547663.4	L3MBTL4	XM_547663.4
29906	LACC1	LACC1	gene-with-protein-product	protein-coding-gene	chr22	LACC1	XM_534129.2	LACC1	XM_534129.2
39019	LACE1	LACE1	gene-with-protein-product	protein-coding-gene	chr12	LACE1	XM_005627683.1	LACE1	XM_005627683.1
14938	LACRT	LACRT	gene-with-protein-product	protein-coding-gene	chr27	LACRT	XM_005636726.1	LACRT	XM_005636726.1
46671	LACTB	LACTB	gene-with-protein-product	protein-coding-gene	chr30	LACTB	XM_544713.4	LACTB	XM_544713.4
45923	LACTB2	LACTB2	gene-with-protein-product	protein-coding-gene	chr29	LACTB2	XM_005638038.1	LACTB2	XM_005638038.1
14982	LACTBL1	LACTBL1	gene-with-protein-product	protein-coding-gene	chr2	LACTBL1	XM_003433793.2	LACTBL1	XM_003433793.2
6162	LAD1	LAD1	gene-with-protein-product	protein-coding-gene	chr7	LAD1	XM_005622201.1	LAD1	XM_005622201.1
45445	LAG3	LAG3	gene-with-protein-product	protein-coding-gene	chr27	LAG3	XM_005637438.1	LAG3	XM_005637438.1
12804	LAGE3	LAGE3	gene-with-protein-product	protein-coding-gene	chrX	LAGE3	XM_003435603.3	LAGE3	XM_003435603.3
42068	LAIR1	LAIR1	gene-with-protein-product	protein-coding-gene	chr1	LAIR1	XM_005616149.1	LAIR1	XM_005616149.1
24440	LALBA	LALBA	gene-with-protein-product	protein-coding-gene	chr27	LALBA	NM_001003129.1	LALBA	NM_001003129.1
22991	LAMA1	LAMA1	gene-with-protein-product	protein-coding-gene	chr7	LAMA1	XM_005623068.1	LAMA1	XM_005623068.1
13077	LAMA2	LAMA2	gene-with-protein-product	protein-coding-gene	chr1	LAMA2	XM_003432522.2	LAMA2	XM_003432522.2
36218	LAMA3	LAMA3	gene-with-protein-product	protein-coding-gene	chr7	LAMA3	XM_003435005.2	LAMA3	XM_003435005.2
26541	LAMA4	LAMA4	gene-with-protein-product	protein-coding-gene	chr12	LAMA4	XM_005627790.1	LAMA4	XM_005627790.1
25121	LAMA5	LAMA5	gene-with-protein-product	protein-coding-gene	chr24	LAMA5	XM_005635367.1	LAMA5	XM_005635367.1
28065	LAMB1	LAMB1	gene-with-protein-product	protein-coding-gene	chr18	LAMB1	XM_533089.5	LAMB1	XM_533089.5
29315	LAMB2	LAMB2	gene-with-protein-product	protein-coding-gene	chr20	LAMB2	XM_005632552.1	LAMB2	XM_005632552.1
25120	LAMB3	LAMB3	gene-with-protein-product	protein-coding-gene	chr7	LAMB3	XM_005622328.1	LAMB3	XM_005622328.1
40688	LAMB4	LAMB4	gene-with-protein-product	protein-coding-gene	chr18	LAMB4	XM_540379.4	LAMB4	XM_540379.4
35902	LAMC1	LAMC1	gene-with-protein-product	protein-coding-gene	chr7	LAMC1	XM_537156.4	LAMC1	XM_537156.4
25073	LAMC2	LAMC2	gene-with-protein-product	protein-coding-gene	chr7	LAMC2	NM_001003351.1	LAMC2	NM_001003351.1
4220	LAMC3	LAMC3	gene-with-protein-product	protein-coding-gene	chr9	LAMC3	XM_005625441.1	LAMC3	XM_005625441.1
29994	LAMP1	LAMP1	gene-with-protein-product	protein-coding-gene	chr22	LAMP1	XM_005634126.1	LAMP1	XM_005634126.1
37636	LAMP2	LAMP2	gene-with-protein-product	protein-coding-gene	chrX	LAMP2	XM_005641764.1	LAMP2	XM_005641764.1
5701	LAMP3	LAMP3	gene-with-protein-product	protein-coding-gene	chr34	LAMP3	XM_005639755.1	LAMP3	XM_005639755.1
7111	LAMP5	LAMP5	gene-with-protein-product	protein-coding-gene	chr24	LAMP5	XM_845541.3	LAMP5	XM_845541.3
